,id,city,district,year,month,hour,weekday,injury_level,collision,movement,light_conditions,bicycle,car,pedestrian,motorbike,truck,other_vehicle,road_conditions,longitude,latitude
0,49090,Berlin,12,2019,1,13,6,3,5,3,0,1,1,0,0,0,0,1,"13,34146","52,58609"
1,49091,Berlin,3,2019,1,9,5,3,5,3,0,1,1,0,0,0,0,0,"13,41356","52,55862"
2,49093,Berlin,12,2019,3,21,6,3,0,1,2,1,0,0,0,0,0,0,"13,36034","52,57159"
3,49096,Berlin,6,2019,1,7,6,2,6,4,1,0,1,1,0,0,0,1,"13,21777","52,42825"
4,49097,Berlin,7,2019,2,15,3,3,2,6,0,0,1,0,0,0,0,0,"13,36007","52,47421"
5,49100,Berlin,5,2019,1,7,5,3,2,6,2,0,1,0,0,0,0,1,"13,19846","52,51273"
6,49101,Berlin,5,2019,1,8,3,3,6,6,0,0,1,1,0,0,0,0,"13,17891","52,51653"
7,49105,Berlin,2,2019,1,7,5,3,6,2,0,0,1,1,0,0,0,1,"13,47323","52,51393"
8,49106,Berlin,5,2019,2,18,1,3,5,2,2,0,1,0,0,0,0,0,"13,17905","52,51662"
9,49109,Berlin,7,2019,1,17,5,3,3,2,2,0,1,0,0,0,1,0,"13,38758","52,43879"
10,49111,Berlin,7,2019,1,18,5,3,2,6,2,0,1,0,0,0,1,0,"13,3659","52,4726"
11,49114,Berlin,4,2019,1,16,5,2,0,1,2,0,0,0,1,0,0,0,"13,31159","52,48068"
12,49115,Berlin,4,2019,2,12,6,3,2,6,0,0,0,0,0,1,1,0,"13,29398","52,53733"
13,49118,Berlin,1,2019,3,13,5,3,2,6,0,0,1,0,0,0,0,0,"13,40141","52,51141"
14,49121,Berlin,4,2019,1,17,4,3,2,6,2,0,1,0,0,0,0,1,"13,28107","52,49931"
15,49124,Berlin,1,2019,1,12,4,3,2,6,0,0,1,0,0,0,0,1,"13,39389","52,51738"
16,49125,Berlin,3,2019,1,13,4,3,5,3,0,0,1,0,0,1,0,0,"13,40276","52,58075"
17,49128,Berlin,12,2019,1,17,4,3,6,2,2,0,1,1,0,0,0,1,"13,3642","52,56367"
18,49131,Berlin,9,2019,1,6,4,3,3,6,2,0,1,0,1,0,0,1,"13,50644","52,45895"
19,49132,Berlin,1,2019,2,6,7,2,5,2,2,0,1,0,1,0,0,0,"13,36838","52,54108"
20,49135,Berlin,9,2019,1,5,4,3,3,6,2,0,1,0,0,1,0,1,"13,47591","52,44462"
21,49136,Berlin,1,2019,1,11,1,3,5,3,0,1,0,0,0,0,0,1,"13,37672","52,51615"
22,49140,Berlin,2,2019,1,8,4,3,5,3,1,1,1,0,0,0,0,1,"13,46757","52,51436"
23,49141,Berlin,12,2019,2,15,6,3,5,3,0,0,1,0,0,0,1,0,"13,33407","52,59356"
24,49144,Berlin,3,2019,1,7,4,3,6,4,2,0,1,1,0,0,0,1,"13,4457","52,54611"
25,49147,Berlin,4,2019,1,7,4,3,2,6,2,0,1,0,0,0,0,1,"13,30205","52,53464"
26,49150,Berlin,6,2019,1,7,4,2,6,2,2,0,1,1,0,0,0,1,"13,2146","52,42751"
27,49151,Berlin,6,2019,2,18,3,3,2,6,2,0,1,0,0,0,0,0,"13,30036","52,44826"
28,49154,Berlin,6,2019,1,9,3,3,2,6,0,0,1,0,0,0,0,1,"13,19654","52,41761"
29,49155,Berlin,7,2019,2,10,7,3,2,6,0,0,1,0,0,0,0,0,"13,38623","52,44368"
30,49158,Berlin,1,2019,1,19,3,3,2,6,2,0,1,0,0,0,0,1,"13,36817","52,50597"
31,49160,Berlin,2,2019,1,19,3,3,2,6,2,1,0,0,0,0,0,1,"13,45288","52,51367"
32,49163,Berlin,7,2019,1,17,3,3,5,3,2,0,1,0,0,0,0,1,"13,37623","52,43047"
33,49164,Berlin,10,2019,2,10,4,2,5,3,0,1,1,0,0,0,0,0,"13,54011","52,52257"
34,49166,Berlin,4,2019,3,14,4,3,2,6,0,0,1,0,0,0,0,0,"13,30308","52,48565"
35,49169,Berlin,3,2019,1,12,3,3,4,1,0,0,1,0,0,0,0,1,"13,47028","52,56471"
36,49172,Berlin,7,2019,1,19,2,3,6,4,2,0,0,1,0,0,1,1,"13,38559","52,47309"
37,49173,Berlin,6,2019,1,17,4,2,0,1,2,0,0,0,1,0,0,1,"13,17569","52,41988"
38,49178,Berlin,7,2019,1,12,1,3,6,2,0,0,1,1,0,0,0,0,"13,38039","52,43784"
39,49179,Berlin,4,2019,2,5,6,3,0,1,1,0,0,0,1,0,0,1,"13,28667","52,49425"
40,49182,Berlin,2,2019,1,11,7,3,5,2,0,0,1,0,0,0,0,0,"13,45424","52,51572"
41,49183,Berlin,1,2019,1,11,1,3,5,3,0,1,0,0,0,0,0,1,"13,37672","52,51615"
42,49186,Berlin,12,2019,1,7,6,3,2,2,1,0,1,0,0,0,0,1,"13,34784","52,57433"
43,49188,Berlin,9,2019,1,19,6,3,2,6,2,0,1,0,0,0,0,0,"13,46215","52,45332"
44,49189,Berlin,7,2019,2,12,6,3,5,2,0,1,1,0,0,0,0,0,"13,40064","52,41519"
45,49192,Berlin,3,2019,1,18,6,3,5,3,2,1,1,0,0,0,0,1,"13,42852","52,55924"
46,49194,Berlin,3,2019,1,20,4,3,5,3,2,1,0,0,0,0,1,0,"13,39835","52,57104"
47,49196,Berlin,7,2019,1,18,6,3,1,5,2,1,1,0,0,0,0,1,"13,35504","52,48542"
48,49199,Berlin,6,2019,1,18,5,3,5,2,2,1,1,0,0,0,0,0,"13,31475","52,45322"
49,49200,Berlin,4,2019,2,2,7,2,0,1,2,0,1,0,0,0,0,1,"13,28636","52,51166"
50,49202,Berlin,1,2019,3,17,7,3,2,7,1,1,1,0,0,0,0,0,"13,40605","52,52054"
51,49205,Berlin,10,2019,1,18,4,3,2,6,2,0,1,0,0,0,0,1,"13,55086","52,55389"
52,49206,Berlin,1,2019,2,16,5,3,0,6,0,1,1,0,0,0,0,0,"13,3634","52,53545"
53,49209,Berlin,7,2019,1,13,4,3,5,3,0,0,1,0,0,1,0,0,"13,347","52,477"
54,49210,Berlin,3,2019,1,14,2,3,0,2,1,1,1,0,0,0,0,0,"13,41406","52,55053"
55,49216,Berlin,10,2019,3,16,3,3,5,2,0,0,1,0,0,0,0,0,"13,59864","52,50488"
